date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:12	19274/19274	---M-Z	200	added ('OK')	text/html	etag:%224b4a-55c72317f3280-gzip%22	http://egotype.design/work/web/html/kounter/index-fss.html	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/index-fss.html	(from )
14:14:13	272/272	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20May%202018%2008:44:13%20GMT	http://egotype.design/robots.txt		(from )
14:14:14	559/559	---M--	200	added ('OK')	image/png	etag:%2222f-548f2769f7340%22	http://egotype.design/work/web/html/kounter/favicon.png	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/favicon.png	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:15	1852/1852	---M--	200	added ('OK')	image/png	etag:%2273c-548f27680eec0%22	http://egotype.design/work/web/html/kounter/apple-touch-icon.png	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/apple-touch-icon.png	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:16	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-548f276903100%22	http://egotype.design/work/web/html/kounter/favicon.ico	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/favicon.ico	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:17	144963/144963	---M-Z	200	added ('OK')	text/css	etag:%2223643-548f229324880-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:18	38219/38219	---M-Z	200	added ('OK')	text/css	etag:%22954b-548f227964bc0-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/font-awesome.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/icons/font-awesome.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:19	44005/44005	---M-Z	200	added ('OK')	text/css	etag:%22abe5-548f227f1d940-gzip%22	http://egotype.design/work/web/html/kounter/css/icons/linea.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/icons/linea.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:20	46798/46798	---M-Z	200	added ('OK')	text/css	etag:%22b6ce-548f229600f40-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:14:21	4093/4093	---M-Z	200	added ('OK')	text/css	etag:%22ffd-548f229418ac0-gzip%22	http://egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	(from http://egotype.design/work/web/html/kounter/index-fss.html)
